epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6792,1.68895,4.69836,1.42098,0.18176,0.30463,0.17079,0.1259,1.40151,2.87398,1.2318,0.000138048,0.000138048,0.000138048
2,48.4924,1.5851,3.58355,1.3525,0.38346,0.45231,0.41257,0.29503,1.35589,2.29737,1.22963,0.000274305,0.000274305,0.000274305
3,71.4467,1.57956,3.08578,1.35092,0.66557,0.50513,0.57652,0.4146,1.36631,1.84188,1.27139,0.00040781,0.00040781,0.00040781
4,96.0217,1.56845,2.74043,1.33939,0.655,0.56165,0.62898,0.43225,1.423,1.88263,1.32006,0.000404615,0.000404615,0.000404615
5,118.864,1.53985,2.50941,1.3167,0.71686,0.60542,0.68341,0.50747,1.31407,1.68629,1.26012,0.000400487,0.000400487,0.000400487
6,141.532,1.53654,2.30876,1.31249,0.77318,0.56879,0.685,0.48963,1.34582,1.50528,1.23724,0.000396358,0.000396358,0.000396358
7,163.467,1.47556,2.09245,1.28843,0.77811,0.65665,0.72547,0.52608,1.29253,1.40318,1.24616,0.00039223,0.00039223,0.00039223
8,184.948,1.45117,1.96267,1.26817,0.82722,0.60981,0.73477,0.53685,1.27881,1.44022,1.22499,0.000388102,0.000388102,0.000388102
9,207.598,1.43673,1.8529,1.25494,0.8249,0.68483,0.75866,0.55404,1.25096,1.28197,1.20862,0.000383974,0.000383974,0.000383974
10,228.028,1.41991,1.73397,1.23951,0.82917,0.68839,0.77095,0.55541,1.28456,1.29449,1.2157,0.000379845,0.000379845,0.000379845
11,248.524,1.41209,1.68175,1.24006,0.77192,0.70409,0.77231,0.56512,1.30376,1.30562,1.22188,0.000375717,0.000375717,0.000375717
12,268.547,1.36269,1.6025,1.22556,0.86426,0.71707,0.79937,0.57499,1.27912,1.16111,1.23491,0.000371589,0.000371589,0.000371589
13,288.515,1.37984,1.56533,1.23493,0.84924,0.71974,0.8054,0.59246,1.24045,1.1353,1.18439,0.00036746,0.00036746,0.00036746
14,309.1,1.36713,1.48867,1.21683,0.83268,0.70942,0.7789,0.55471,1.27115,1.17535,1.2133,0.000363332,0.000363332,0.000363332
15,329.067,1.34791,1.44288,1.20337,0.84362,0.73035,0.80518,0.56744,1.31472,1.1604,1.2435,0.000359204,0.000359204,0.000359204
16,347.697,1.33863,1.41095,1.20488,0.83891,0.72307,0.79452,0.58873,1.24001,1.07098,1.1891,0.000355076,0.000355076,0.000355076
17,366.28,1.34993,1.37171,1.20075,0.78487,0.75017,0.80737,0.59275,1.25023,1.10886,1.20873,0.000350947,0.000350947,0.000350947
18,384.763,1.31691,1.31963,1.19127,0.83359,0.74444,0.8112,0.58838,1.24722,1.08871,1.19128,0.000346819,0.000346819,0.000346819
19,403.399,1.29286,1.28167,1.17161,0.83584,0.75679,0.81669,0.60838,1.2786,1.09271,1.21306,0.000342691,0.000342691,0.000342691
20,424.254,1.31684,1.2937,1.183,0.85515,0.74895,0.81492,0.59894,1.25238,1.05447,1.1843,0.000338562,0.000338562,0.000338562
21,449.005,1.28581,1.23884,1.16975,0.84393,0.73816,0.80147,0.56978,1.28566,1.07626,1.21741,0.000334434,0.000334434,0.000334434
22,469.469,1.26792,1.22024,1.16778,0.87518,0.75357,0.82196,0.59926,1.26814,1.04436,1.20556,0.000330306,0.000330306,0.000330306
23,489.383,1.23975,1.17401,1.15337,0.86233,0.743,0.81886,0.5986,1.24487,1.06747,1.18944,0.000326177,0.000326177,0.000326177
24,510.082,1.24059,1.12299,1.15692,0.87727,0.75307,0.8153,0.59422,1.25373,1.01458,1.19451,0.000322049,0.000322049,0.000322049
25,531.269,1.23687,1.11477,1.15119,0.80538,0.77001,0.82825,0.60622,1.29452,1.02631,1.22881,0.000317921,0.000317921,0.000317921
26,552.364,1.23171,1.11391,1.14294,0.8759,0.74394,0.8252,0.60208,1.24343,1.02695,1.20484,0.000313792,0.000313792,0.000313792
27,571.314,1.24008,1.10624,1.14964,0.82934,0.78734,0.83589,0.62699,1.24463,0.98596,1.18697,0.000309664,0.000309664,0.000309664
28,590.05,1.19505,1.06298,1.13324,0.80856,0.78717,0.82494,0.61161,1.23812,0.96588,1.18603,0.000305536,0.000305536,0.000305536
29,608.455,1.22934,1.11041,1.14943,0.86892,0.77119,0.83693,0.61884,1.21909,1.01135,1.17036,0.000301408,0.000301408,0.000301408
30,627.032,1.2088,1.08203,1.13154,0.85735,0.78325,0.83618,0.62087,1.21511,0.95655,1.17585,0.000297279,0.000297279,0.000297279
